datum,typ,serie,ångström,nr,filnamn
1999-Jul-21,concont,a,6449,,21Jul99_6449a_concont.fits
1999-Jul-21,conint,a,6449,,21Jul99_6449a_conint.fits
1999-Jul-21,dd,a,6449,,21Jul99_6449a_dd.fits
1999-Jul-21,ff,a,6449,,21Jul99_6449a_ff.fits
1999-Jul-21,fulldd,a,6449,,21Jul99_6449a_fulldd.fits
1999-Jul-21,fullff,a,6449,,21Jul99_6449a_fullff.fits
1999-Jul-21,gain,a,6449,,21Jul99_6449a_gain.fits
1999-Jul-21,imnum,a,6449,,21Jul99_6449a_imnum.fits
1999-Jul-21,meanint,a,6449,,21Jul99_6449a_meanint.fits
1999-Jul-21,meanspec,a,6449,,21Jul99_6449a_meanspec.fits
1999-Jul-21,time,a,6449,,21Jul99_6449a_time.fits
1999-Sep-21,adjustfts,a,5053,,21Sep99_5053a_adjustfts.fits
1999-Sep-21,adjustspec,a,5053,,21Sep99_5053a_adjustspec.fits
1999-Sep-21,concont,a,5053,,21Sep99_5053a_concont.fits
1999-Sep-21,conint,a,5053,,21Sep99_5053a_conint.fits
1999-Sep-21,contmap,a,5053,,21Sep99_5053a_contmap.fits
1999-Sep-21,dd,a,5053,,21Sep99_5053a_dd.fits
1999-Sep-21,ff,a,5053,,21Sep99_5053a_ff.fits
1999-Sep-21,fulldd,a,5053,,21Sep99_5053a_fulldd.fits
1999-Sep-21,fullff,a,5053,,21Sep99_5053a_fullff.fits
1999-Sep-21,gain,a,5053,,21Sep99_5053a_gain.fits
1999-Sep-21,imnum,a,5053,,21Sep99_5053a_imnum.fits
1999-Sep-21,intfac,a,5053,,21Sep99_5053a_intfac.fits
1999-Sep-21,lambda,a,5053,,21Sep99_5053a_lambda.fits
1999-Sep-21,meanint,a,5053,,21Sep99_5053a_meanint.fits
1999-Sep-21,meanspec,a,5053,,21Sep99_5053a_meanspec.fits
1999-Sep-21,refspec,a,5053,,21Sep99_5053a_refspec.fits
1999-Sep-21,straymap,a,5053,,21Sep99_5053a_straymap.fits
1999-Sep-21,time,a,5053,,21Sep99_5053a_time.fits
1999-Sep-21,cor,a,5053,489,21Sep99_5053am16b_im21Sep99.000489.cor.fits
1999-Sep-21,cor,a,5053,490,21Sep99_5053am16b_im21Sep99.000490.cor.fits
1999-Sep-21,cor,a,5053,491,21Sep99_5053am16b_im21Sep99.000491.cor.fits
1999-Sep-21,cor,a,5053,492,21Sep99_5053am16b_im21Sep99.000492.cor.fits
1999-Sep-21,cor,a,5053,493,21Sep99_5053am16b_im21Sep99.000493.cor.fits
1999-Sep-21,cor,a,5053,494,21Sep99_5053am16b_im21Sep99.000494.cor.fits
1999-Sep-21,cor,a,5053,495,21Sep99_5053am16b_im21Sep99.000495.cor.fits
1999-Sep-21,cor,a,5053,496,21Sep99_5053am16b_im21Sep99.000496.cor.fits
1999-Sep-21,cor,a,5053,497,21Sep99_5053am16b_im21Sep99.000497.cor.fits
1999-Sep-21,cor,a,5053,498,21Sep99_5053am16b_im21Sep99.000498.cor.fits
1999-Sep-21,cor,a,5053,499,21Sep99_5053am16b_im21Sep99.000499.cor.fits
1999-Sep-21,cor,a,5053,500,21Sep99_5053am16b_im21Sep99.000500.cor.fits
1999-Sep-21,cor,a,5053,501,21Sep99_5053am16b_im21Sep99.000501.cor.fits
1999-Sep-21,cor,a,5053,502,21Sep99_5053am16b_im21Sep99.000502.cor.fits
1999-Sep-21,cor,a,5053,503,21Sep99_5053am16b_im21Sep99.000503.cor.fits
1999-Sep-21,cor,a,5053,504,21Sep99_5053am16b_im21Sep99.000504.cor.fits
1999-Sep-21,cor,a,5053,505,21Sep99_5053am16b_im21Sep99.000505.cor.fits
1999-Sep-21,cor,a,5053,506,21Sep99_5053am16b_im21Sep99.000506.cor.fits
1999-Sep-21,cor,a,5053,507,21Sep99_5053am16b_im21Sep99.000507.cor.fits
1999-Sep-21,cor,a,5053,508,21Sep99_5053am16b_im21Sep99.000508.cor.fits
1999-Sep-21,cor,a,5053,509,21Sep99_5053am16b_im21Sep99.000509.cor.fits
1999-Sep-21,cor,a,5053,510,21Sep99_5053am16b_im21Sep99.000510.cor.fits
1999-Sep-21,cor,a,5053,511,21Sep99_5053am16b_im21Sep99.000511.cor.fits
1999-Sep-21,cor,a,5053,512,21Sep99_5053am16b_im21Sep99.000512.cor.fits
1999-Sep-21,cor,a,5053,513,21Sep99_5053am16b_im21Sep99.000513.cor.fits
1999-Sep-21,cor,a,5053,514,21Sep99_5053am16b_im21Sep99.000514.cor.fits
1999-Sep-21,cor,a,5053,515,21Sep99_5053am16b_im21Sep99.000515.cor.fits
1999-Sep-21,cor,a,5053,516,21Sep99_5053am16b_im21Sep99.000516.cor.fits
1999-Sep-21,cor,a,5053,517,21Sep99_5053am16b_im21Sep99.000517.cor.fits
1999-Sep-21,cor,a,5053,518,21Sep99_5053am16b_im21Sep99.000518.cor.fits
1999-Sep-21,cor,a,5053,519,21Sep99_5053am16b_im21Sep99.000519.cor.fits
1999-Sep-21,cor,a,5053,520,21Sep99_5053am16b_im21Sep99.000520.cor.fits
1999-Sep-21,cor,a,5053,521,21Sep99_5053am16b_im21Sep99.000521.cor.fits
1999-Sep-21,cor,a,5053,522,21Sep99_5053am16b_im21Sep99.000522.cor.fits
1999-Sep-21,cor,a,5053,523,21Sep99_5053am16b_im21Sep99.000523.cor.fits
1999-Sep-21,cor,a,5053,524,21Sep99_5053am16b_im21Sep99.000524.cor.fits
1999-Sep-21,cor,a,5053,525,21Sep99_5053am16b_im21Sep99.000525.cor.fits
1999-Sep-21,cor,a,5053,526,21Sep99_5053am16b_im21Sep99.000526.cor.fits
1999-Sep-21,cor,a,5053,527,21Sep99_5053am16b_im21Sep99.000527.cor.fits
1999-Sep-21,cor,a,5053,528,21Sep99_5053am16b_im21Sep99.000528.cor.fits
1999-Sep-21,cor,a,5053,529,21Sep99_5053am16b_im21Sep99.000529.cor.fits
1999-Sep-21,adjustfts,b,5053,,21Sep99_5053b_adjustfts.fits
1999-Sep-21,adjustspec,b,5053,,21Sep99_5053b_adjustspec.fits
1999-Sep-21,concont,b,5053,,21Sep99_5053b_concont.fits
1999-Sep-21,conint,b,5053,,21Sep99_5053b_conint.fits
1999-Sep-21,contmap,b,5053,,21Sep99_5053b_contmap.fits
1999-Sep-21,dd,b,5053,,21Sep99_5053b_dd.fits
1999-Sep-21,ff,b,5053,,21Sep99_5053b_ff.fits
1999-Sep-21,fulldd,b,5053,,21Sep99_5053b_fulldd.fits
1999-Sep-21,fullff,b,5053,,21Sep99_5053b_fullff.fits
1999-Sep-21,gain,b,5053,,21Sep99_5053b_gain.fits
1999-Sep-21,imnum,b,5053,,21Sep99_5053b_imnum.fits
1999-Sep-21,intfac,b,5053,,21Sep99_5053b_intfac.fits
1999-Sep-21,lambda,b,5053,,21Sep99_5053b_lambda.fits
1999-Sep-21,meanint,b,5053,,21Sep99_5053b_meanint.fits
1999-Sep-21,meanspec,b,5053,,21Sep99_5053b_meanspec.fits
1999-Sep-21,refspec,b,5053,,21Sep99_5053b_refspec.fits
1999-Sep-21,straymap,b,5053,,21Sep99_5053b_straymap.fits
1999-Sep-21,time,b,5053,,21Sep99_5053b_time.fits
1999-Sep-21,cor,b,5053,540,21Sep99_5053bm16b_im21Sep99.000540.cor.fits
1999-Sep-21,cor,b,5053,541,21Sep99_5053bm16b_im21Sep99.000541.cor.fits
1999-Sep-21,cor,b,5053,542,21Sep99_5053bm16b_im21Sep99.000542.cor.fits
1999-Sep-21,cor,b,5053,543,21Sep99_5053bm16b_im21Sep99.000543.cor.fits
1999-Sep-21,cor,b,5053,544,21Sep99_5053bm16b_im21Sep99.000544.cor.fits
1999-Sep-21,cor,b,5053,545,21Sep99_5053bm16b_im21Sep99.000545.cor.fits
